annotation_id,comparison_id,sampling_stratum,diverging_id_label
SV1_0390,9fe749cb205e49e49d563adb022df0b2,Brainstorm,0
SV1_0391,ceb9b3f4ed854b4f9ca12ce195354049,Coding,0
SV1_0392,3135c4aed27046bcb8504574ded74398,Generation,0
SV1_0393,16512dba15084185ad2d194fa31f19c9,Closed QA,0
SV1_0394,813ffaf1a7f3493483f3cea252ec2c3f,Open QA,1
SV1_0395,05fbac0ea0524bcbbbb69625212a9e3e,Coding,0
SV1_0396,fb4d34e7833c4dc79219af6fafce18ab,Open QA,0
SV1_0397,29425314120c48f2bb424fd1eeef23bd,Generation,1
SV1_0398,0862a75f22224642b21811c87d908fb6,Chat,0
SV1_0399,6efddf36c79648419f0a2747ef9a172b,Brainstorm,0
SV1_0400,3f89952311154e12bc596bf0d3c6aab0,Generation,1
